mcq_id,question_text,option_a,option_b,option_c,option_d,correct_answer,difficulty_level,language
1,Which keyword is used to define a function in Python?,def,func,define,lambda,A,Easy,Python
2,The built-in print() function writes output to which stream by default?,Standard output (stdout),Standard error (stderr),GPU console,A file,A,Easy,Python
3,"What is the result of len(""abc"")?",1,2,3,4,C,Easy,Python
4,Which built-in data type is unordered and stores unique elements?,list,tuple,set,dict,C,Easy,Python
5,How do you start a single-line comment in Python?,#,//,<!--,/*,A,Easy,Python
6,Which list method adds an item to the end?,push,add,append,insert,C,Easy,Python
7,Which statement about tuples is true?,Tuples are immutable,Tuples are always empty,Tuples are dictionaries,Tuples are sets,A,Easy,Python
8,Which operator is used for exponentiation?,^,**,exp,^^,B,Easy,Python
9,Which keyword is used to import a module?,import,include,use,module,A,Easy,Python
10,What does range(3) produce when iterated?,"0, 1, 2","1, 2, 3","2, 3, 4","3, 2, 1",A,Easy,Python
11,Using a variable before it is assigned will raise which error?,TypeError,ValueError,NameError,KeyError,C,Easy,Python
12,Which built-in function returns the type of an object?,objtype(),type(),typeof(),class(),B,Easy,Python
13,Which string method converts letters to uppercase?,capitalize(),upper(),toUpper(),uppercase(),B,Easy,Python
14,How do you convert a numeric string to an int?,"int(""5"")","toInt(""5"")","parseInt(""5"")","Number(""5"")",A,Easy,Python
15,Which library is commonly used to generate random numbers?,math,statistics,random,numbers,C,Easy,Python
16,Which operator performs floor division?,//,/,%,**,A,Easy,Python
17,Which expression evaluates to True?,bool(0),"bool("""")",bool([]),bool(1),D,Easy,Python
18,How do you create a dictionary?,{'a': 1},"['a', 1]","('a', 1)","{'a', 1}",A,Easy,Python
19,Python uses which syntax to define code blocks?,Curly braces {},Semicolons ;,Indentation,Parentheses (),C,Easy,Python
20,What is None in Python?,A string,A null-like singleton,An integer,A boolean,B,Easy,Python
21,Common file extension for Python source files is?,.py,.python,.p,.pt,A,Easy,Python
22,Which function reads user input from the console?,read(),scan(),input(),stdin(),C,Easy,Python
23,Which built-in returns the number of items in a list?,len(list),size(list),count(list),length(list),A,Easy,Python
24,Which loop iterates over all items in a list?,while i < len(list):,for x in list:,repeat list:,foreach(list),B,Easy,Python
25,Which are boolean operators in Python?,"&&, ||, !","and, or",not only,"and, or, not",D,Easy,Python
26,Which expression raises ZeroDivisionError?,1/0,0/1,1//1,1%1,A,Easy,Python
27,Which module provides common math functions like sqrt?,cmath,math,numbers,random,B,Easy,Python
28,Which data structure stores key-value pairs?,list,set,dict,tuple,C,Easy,Python
29,What does s[0:3] return for s='hello'?,'hel','ello','he','hell',A,Easy,Python
30,What does '==' check compared to 'is'?,Value equality,Identity only,Reference count,Type equality,A,Easy,Python
31,Which symbol is used to declare a decorator?,@,#,$,&,A,Medium,Python
32,Which keyword defines a generator?,return,yield,generate,yield from,B,Medium,Python
33,Which module provides iterator building blocks?,functools,collections,itertools,operator,C,Medium,Python
34,What does collections.Counter do?,Counts hashable items,Sorts a list,Creates default values,Hashes strings,A,Medium,Python
35,Which class provides default values for missing dict keys?,Counter,defaultdict,dict,OrderedDict,B,Medium,Python
36,Context managers implement which methods?,__enter__ and __exit__,open and close,start and stop,begin and end,A,Medium,Python
37,What does a lambda expression create?,An anonymous function,A generator,A class,A module,A,Medium,Python
38,Generator expression vs list comprehension: which is lazy?,List comprehension,Both eager,Generator expression,Neither,C,Medium,Python
39,Which statement about copy vs deepcopy is true?,copy copies nested objects deeply,deepcopy copies nested objects,Both are shallow,Neither exists,B,Medium,Python
40,"In CPython, what does the GIL restrict?",File I/O,Multiple threads executing Python bytecode at once,Network sockets,Multiprocessing,B,Medium,Python
41,Which library is commonly used for HTTP requests?,urllib3 only,requests,smtplib,http.server,B,Medium,Python
42,What is a dataclass used for?,Reducing boilerplate for data containers,Networking,Testing,GUI,A,Medium,Python
43,Type hints are defined in which module?,hinting,types,typing,typehints,C,Medium,Python
44,How to open a file safely ensuring it closes?,open(); close() manually,with open(...) as f:,contextlib.suppress,file.open(),B,Medium,Python
45,Which is the highest logging level?,ERROR,WARNING,INFO,CRITICAL,D,Medium,Python
46,Which module provides an object-oriented filesystem path API?,os.path,path,pathlib,glob,C,Medium,Python
47,How do you declare an async function?,def async():,async def func():,await def func():,def await():,B,Medium,Python
48,Which function runs a coroutine and manages the event loop?,asyncio.create_task,asyncio.run,await run(),loop.new_task,B,Medium,Python
49,What does enumerate(iterable) return?,Only values,Only indices,Pairs of index and value,A set,C,Medium,Python
50,What does @property provide?,Static methods,Class methods,Managed attributes with getters,Package import,C,Medium,Python
51,__repr__ is intended to be:,User-friendly string,Unambiguous developer representation,Logging only,Binary dump,B,Medium,Python
52,Which tool installs Python packages?,pip,apt,conda only,yum,A,Medium,Python
53,Which module creates virtual environments?,virtualenv only,venv,pipenv,env,B,Medium,Python
54,Which except clause catches most built-in exceptions?,except BaseException,except Exception,except Error,except Throwable,B,Medium,Python
55,"In Python 3, map() returns:",A list,A tuple,An iterator,A set,C,Medium,Python
56,Which parameter customizes sorting in sorted()?,cmp,key,sortBy,compare,B,Medium,Python
57,functools.lru_cache does what?,Caches function results,Logs calls,Measures time,Raises errors,A,Medium,Python
58,json.loads does:,Serializes object to JSON string,Parses JSON string to Python object,Reads a file,Validates schema,B,Medium,Python
59,Which module helps parse command line arguments?,args,sys,argparse,cli,C,Medium,Python
60,"What does zip(iter1, iter2) return in Python 3?",A list of pairs,An iterator of tuples pairing elements,A dictionary,A set of elements,B,Medium,Python
61,Which methods form the descriptor protocol?,__get__ and __repr__,__setattr__ and __delattr__,"__get__, __set__, __delete__",__init__ and __new__,C,Hard,Python
62,ClassName.mro() returns:,Method reference objects,A list of methods,The method resolution order,Output of dir(),C,Hard,Python
63,Which statement about asyncio's event loop is true?,It is multithreaded by default,It cooperatively schedules coroutines in a single thread,It requires multiprocessing,It cannot run tasks concurrently,B,Hard,Python
64,concurrent.futures provides:,Only ThreadPoolExecutor,Only ProcessPoolExecutor,None of these,Both ThreadPoolExecutor and ProcessPoolExecutor,D,Hard,Python
65,contextlib.contextmanager decorator allows:,Creating threads,Generator-based context managers,Compiling modules,Encrypting files,B,Hard,Python
66,memoryview enables:,Copy-on-write strings,Zero-copy slicing of bytes-like objects,Thread-safe lists,Faster dict lookups,B,Hard,Python
67,multiprocessing bypasses the GIL because:,It uses threads,It uses multiple processes,It disables GIL,It uses async,B,Hard,Python
68,weakref allows:,Preventing GC,Faster hashing,References that don't increase refcount,Immutable objects,C,Hard,Python
69,Using __slots__ in a class:,Adds dynamic attributes,Removes __dict__ to save memory,Enables metaclasses,Disables methods,B,Hard,Python
70,__new__ is called:,After __init__,Before __init__ when creating an instance,Only for dataclasses,Only for ABCs,B,Hard,Python
71,Which module supports abstract base classes?,abc,abstract,bases,types,A,Hard,Python
72,Dynamic imports can be done via:,importlib,dynimport,pkgutil only,sys.argv,A,Hard,Python
73,To obtain a function's signature programmatically use:,inspect.signature,hash(),repr(),signature(),A,Hard,Python
74,What does 'yield from' do?,Delegates to a subgenerator,Creates a thread,Exits a generator,Flushes buffers,A,Hard,Python
75,asyncio.gather(...) does:,Sequentially runs coroutines,Run multiple coroutines concurrently and collect results,Creates processes,Blocks the loop,B,Hard,Python
76,A finally block:,Executes only when no exception occurs,Executes only on exceptions,Executes regardless of exceptions,Is ignored,C,Hard,Python
77,decimal.Decimal is used for:,Complex numbers,Fixed-point decimal arithmetic,Random numbers,Binary packing,B,Hard,Python
78,fractions.Fraction represents:,Irrational numbers,Rational numbers as numerator/denominator,Decimals,Matrices,B,Hard,Python
79,pickle module:,Is safe for untrusted data,Serializes and deserializes Python objects,Compiles Python code,Encrypts data,B,Hard,Python
80,ctypes allows:,Calling C libraries from Python,Parsing JSON,Creating GUIs,Networking,A,Hard,Python
81,Which is TRUE about dict keys?,Mutable objects are safe as keys,Objects used as keys should be immutable and hashable,Keys can be lists,Keys must be strings,B,Hard,Python
82,Which lock is reentrant in threading?,Lock,RLock,Semaphore,Event,B,Hard,Python
83,asyncio.create_task returns:,A Thread,A Process,A Task object,A Future only,C,Hard,Python
84,functools.partial is used to:,Delay execution,Fix some args of a function and create a new callable,Profile functions,Validate inputs,B,Hard,Python
85,sys.setrecursionlimit changes:,Thread stack size,Max recursion depth,GIL behavior,Event loop,B,Hard,Python
86,logger.propagate controls:,Formatter style,Whether records bubble to ancestor loggers,File handlers only,Log level,B,Hard,Python
87,Which queue is process-safe?,queue.Queue,multiprocessing.Queue,collections.deque,asyncio.Queue only,B,Hard,Python
88,The struct module is used for:,Parsing XML,Packing/unpacking binary data,Sorting lists,Networking,B,Hard,Python
89,selectors module provides:,Thread scheduling,High-level I/O multiplexing,HTTP client,File encryption,B,Hard,Python
90,tempfile.TemporaryDirectory does:,Creates a temp directory and deletes it on cleanup,Creates only files,Disables GC,Allocates shared memory,A,Hard,Python
91,What is the correct entry point method signature in Java?,public static void main(String[] args),void main(),public void Main(String[] args),static main(String[]),A,Easy,Java
92,Strings in Java are:,Immutable,Mutable,Pointers,Value types,A,Easy,Java
93,Which package contains ArrayList?,java.io,java.util,java.lang,java.net,B,Easy,Java
94,Which is a primitive type?,int,String,Integer,List,A,Easy,Java
95,Which operator compares primitive equality?,equals,==,compareTo,equalsIgnoreCase,B,Easy,Java
96,Which class reads input from console easily?,BufferedReader only,Scanner,InputStream,Console,B,Easy,Java
97,How to print to console?,System.out.println,Console.write,stdout.print,Print(),A,Easy,Java
98,Which collection disallows duplicate elements?,List,ArrayList,Queue,Set,D,Easy,Java
99,Which loop is best to iterate elements of an array?,while,do-while,enhanced for (for-each),switch,C,Easy,Java
100,Uninitialized local variables have:,Default 0,Compile-time error,Default null,Default false,B,Easy,Java
101,Keyword to derive from a superclass?,extends,inherits,super,implements,A,Easy,Java
102,Keyword to implement an interface?,extends,include,implements,interface,C,Easy,Java
103,Access without modifier is:,private,package-private (default),protected,public,B,Easy,Java
104,final variables:,Can be reassigned,Cannot be reassigned,Are always static,Are always public,B,Easy,Java
105,Which is a checked exception?,IOException,NullPointerException,ArithmeticException,IndexOutOfBoundsException,A,Easy,Java
106,Which method concatenates Strings (method form)?,concat(),append(),join(),merge(),A,Easy,Java
107,JVM stands for:,Java Virtual Machine,Java Vendor Manager,Just Virtual Memory,Java Visual Model,A,Easy,Java
108,Which map maintains insertion order?,HashMap,TreeMap,Hashtable,LinkedHashMap,D,Easy,Java
109,"For objects, which compares content equality by convention?",==,equals(),compareTo(),hashCode(),B,Easy,Java
110,Which class supports arbitrary-precision integers?,BigInteger,Long,Integer,BigDecimal,A,Easy,Java
111,StringBuilder is:,Immutable,Mutable and not synchronized,Mutable and synchronized,A collection,B,Easy,Java
112,Preferred interface for task to run in a thread:,Callable only,Runnable,Thread,Future,B,Easy,Java
113,switch supports (modern Java):,Only int,Only String,"int, enum, String",Only enum,C,Easy,Java
114,try-with-resources requires objects implementing:,Closeable only,Serializable,AutoCloseable,Readable,C,Easy,Java
115,Array indices start at:,1,0,-1,Depends on JVM,B,Easy,Java
116,Which map stores keys without order and allows one null key?,HashMap,TreeMap,LinkedHashMap,Hashtable,A,Easy,Java
117,What does new int[5].length return?,4,5,6,Undefined,B,Easy,Java
118,Java source file extension is:,.java,.class,.jar,.jav,A,Easy,Java
119,JAR stands for:,Java ARchive,Java ARray,Just A Runtime,Java Application Resource,A,Easy,Java
120,Which library is commonly used for unit testing in Java?,JUnit,Mockito,TestNG only,Hamcrest,A,Easy,Java
121,Generics: List<String> can hold:,Any type,Only String objects,Only primitives,Only Integer,B,Medium,Java
122,HashMap allows:,No null keys,One null key and multiple null values,Multiple null keys,No null values,B,Medium,Java
123,Comparable is used to:,Define natural order via compareTo,Define external order,Compute hashCode,Clone objects,A,Medium,Java
124,Comparator is used to:,Define external order (compare),Define natural order,Sort arrays only,Compare primitives,A,Medium,Java
125,StringBuffer vs StringBuilder:,StringBuffer is synchronized; StringBuilder is not,Both synchronized,Both unsynchronized,Neither exists,A,Medium,Java
126,equals/hashCode contract says:,Equal objects may have different hashCodes,hashCode is optional,Equal objects must have equal hashCodes,hashCode must be prime,C,Medium,Java
127,NIO classes for path/file handling include:,java.io.File only,java.nio.file.Path and Files,java.net.Path,java.nio.Path only,B,Medium,Java
128,Streams API: map(...) does:,Filters elements,Transforms each element,Aggregates elements,Sorts elements,B,Medium,Java
129,Collect a stream to a List:,toList() only,collect(Collectors.toList()),asList(),arrayList(),B,Medium,Java
130,Optional method to supply a default value:,get(),orElse(...),isPresent(),orElseGet() only,B,Medium,Java
131,A lambda for doubling x looks like:,x -> x * 2,(x) => x * 2,lambda(x): x*2,fn(x) -> x*2,A,Medium,Java
132,A functional interface must have:,No methods,Multiple abstract methods,Exactly one abstract method,Only default methods,C,Medium,Java
133,ExecutorService method to submit tasks:,run(),execute() returns Future,submit() returns Future,start(),C,Medium,Java
134,Future.get() will:,Return immediately always,Block until result is available,Cancel the task,Start the task,B,Medium,Java
135,volatile ensures:,Atomicity of ++,Visibility of changes across threads,Locking of objects,Faster execution,B,Medium,Java
136,synchronized provides:,Visibility only,Mutual exclusion and visibility,No ordering,Deadlock by default,B,Medium,Java
137,Deadlock is:,Fast execution,Threads waiting forever on each other's locks,A type of exception,A logging level,B,Medium,Java
138,"Deque (e.g., ArrayDeque) can be used for:",FIFO only,LIFO stack operations,Sorting,Priority,B,Medium,Java
139,Files.lines(path) returns:,List<String>,Stream<String>,Reader,byte[],B,Medium,Java
140,Path.resolve(child) does:,Deletes a file,Combines base path with child,Reads contents,Creates a directory,B,Medium,Java
141,To make a class serializable implement:,Cloneable,Serializable,AutoCloseable,Readable,B,Medium,Java
142,Spring DI annotation is:,@Deprecated,@Autowired,@Bean only,@Override,B,Medium,Java
143,Spring Boot main application annotation:,@EnableBoot,@SpringBootApplication,@BootApplication,@SpringApp,B,Medium,Java
144,JUnit 5 uses which annotation for a test method?,@RunWith,@Before,@Test,@Suite,C,Medium,Java
145,Mockito is primarily used for:,Integration testing,Mocking dependencies in unit tests,UI testing,Profiling,B,Medium,Java
146,Regex classes are in:,java.util.regex,java.regex,java.lang.regex,javax.regex,A,Medium,Java
147,Reflection classes are in:,java.reflect,java.lang.reflect,javax.reflect,sun.reflect,B,Medium,Java
148,ClassLoader is used to:,Serialize objects,Load classes at runtime,Manage threads,Handle sockets,B,Medium,Java
149,ResourceBundle is used for:,I/O,Logging,Internationalization (i18n),Networking,C,Medium,Java
150,TreeMap is:,Unordered,Sorted by keys,FIFO,Random,B,Medium,Java
151,"In the Java Memory Model, a happens-before relationship is established by:",Object.toString(),synchronized/volatile,try-catch,finalize(),B,Hard,Java
152,Which lock allows a thread to re-acquire the same lock it already holds?,Semaphore,ReentrantLock,CountDownLatch,ReadWriteLock,B,Hard,Java
153,CountDownLatch is used to:,Schedule tasks,Let threads wait until a count reaches zero,Enforce mutual exclusion,Throttle network,B,Hard,Java
154,CyclicBarrier allows:,One-time signaling,Threads to wait at a barrier until all reach it,Atomic increments,Thread interruption,B,Hard,Java
155,AtomicInteger provides:,Non-atomic increments,Atomic operations without locks,File I/O,String parsing,B,Hard,Java
156,LongAdder is preferred over AtomicLong when:,Low contention,High contention for counters,IO-bound tasks,GPU processing,B,Hard,Java
157,CompletableFuture enables:,Blocking only,Asynchronous composition of tasks,Only synchronous execution,File operations,B,Hard,Java
158,ForkJoinPool uses:,Round-robin scheduling,Work-stealing,FIFO only,Single thread,B,Hard,Java
159,NIO Selector is used for:,Blocking I/O only,Multiplexing non-blocking channels,Serialization,Reflection,B,Hard,Java
160,ByteBuffer.allocateDirect creates:,Heap memory,Off-heap (direct) buffer,File buffer,Network buffer,B,Hard,Java
161,WeakReference allows:,Preventing GC,GC when no strong references remain,Lock-free queues,Atomicity,B,Hard,Java
162,SoftReference is suitable for:,Critical data,Caches that may be reclaimed under memory pressure,Permanent objects,Synchronization,B,Hard,Java
163,Default class loading model in Java is:,Random,Parent-first (delegation),Child-first always,No delegation,B,Hard,Java
164,G1 is a:,Just-In-Time compiler,Garbage collector using regions,Network protocol,Logging framework,B,Hard,Java
165,Escape analysis can enable:,Heap allocation always,Stack allocation for non-escaping objects,No optimization,Only GC,B,Hard,Java
166,Visibility of final fields is guaranteed after:,Any method call,Constructor completes (proper publication),Class loading,main() start,B,Hard,Java
167,ThreadLocal provides:,Global variables,Per-thread variables,Shared locks,Serialization,B,Hard,Java
168,Object.wait must be called:,Outside any lock,Within a synchronized block on the same object,Only on Thread,Only on Class,B,Hard,Java
169,notify vs notifyAll:,Both wake all threads,"notify wakes one, notifyAll wakes all",Both wake one,Neither works,B,Hard,Java
170,volatile guarantees:,Atomic ++ operations,Visibility but not atomicity for ++,Locking and fairness,Nothing,B,Hard,Java
171,String.intern():,Parses JSON,Returns canonical representation from the string pool,Sorts strings,Allocates off-heap,B,Hard,Java
172,Mutable objects as map keys:,Are safe if equals changes,Can break map invariants if mutated after insertion,Always fine,Never stored,B,Hard,Java
173,serialVersionUID is used to:,Track versions in serialization,Control GC,Tune threads,Manage sockets,A,Hard,Java
174,Reflection can access private members by:,Nothing works,setAccessible(true),Only subclassing,Changing JVM flags,B,Hard,Java
175,Parallel streams order can be preserved by:,forEach only,forEachOrdered,collect first,peek,B,Hard,Java
176,Phaser is used for:,I/O,Flexible barrier synchronization for phases,Regex,GC,B,Hard,Java
177,StampedLock offers:,Only exclusive locks,Optimistic reads and read/write locks,Only read locks,Only write locks,B,Hard,Java
178,VarHandle provides:,Legacy serialization,"Low-level, strongly typed field/array access",Network sockets,UI,B,Hard,Java
179,Records (Java 16+) are:,Mutable data carriers,Immutable data carriers with concise syntax,Enums,Interfaces,B,Hard,Java
180,Sealed classes allow:,Any subclass,Restricting which classes can extend or implement,Only final classes,Only abstract classes,B,Hard,Java
181,SELECT * FROM table_name; does:,Selects all columns,Deletes rows,Updates rows,Creates a table,A,Easy,SQL
182,WHERE clause is used to:,Sort rows,Filter rows,Group rows,Join tables,B,Easy,SQL
183,ORDER BY is used to:,Filter rows,Sort rows,Join tables,Update rows,B,Easy,SQL
184,LIMIT is used to:,Group rows,Restrict number of returned rows,Create views,Rename columns,B,Easy,SQL
185,COUNT(*) returns:,Sum of a column,Number of rows,Average value,Maximum value,B,Easy,SQL
186,DISTINCT does:,Removes duplicate rows,Adds constraints,Creates indexes,Drops tables,A,Easy,SQL
187,LIKE 'A%' matches:,Strings starting with 'A',Strings ending with 'A',Strings containing 'A',Only 'A',A,Easy,SQL
188,BETWEEN 1 AND 5 includes:,Only 1,Only 5,Both 1 and 5,Neither,C,Easy,SQL
189,"IN (1,2,3) checks:",Range,Membership in set,Nullability,Ordering,B,Easy,SQL
190,IS NULL tests:,Equality,Null values,Type,Length,B,Easy,SQL
191,GROUP BY is used for:,Aggregating rows by columns,Sorting,Updating,Deleting,A,Easy,SQL
192,INNER JOIN returns:,All rows from left,All rows from right,Only matching rows,Cartesian product,C,Easy,SQL
193,PRIMARY KEY constraint ensures:,Duplicates allowed,Uniqueness and not null,Only not null,Only uniqueness,B,Easy,SQL
194,FOREIGN KEY enforces:,Referential integrity,Sorting,Temporary tables,Views,A,Easy,SQL
195,CREATE TABLE does:,Create a table,Create a view,Insert rows,Drop a table,A,Easy,SQL
196,ALTER TABLE ADD COLUMN does:,Add a column,Drop a table,Delete rows,Rename database,A,Easy,SQL
197,INSERT INTO does:,Insert rows,Update rows,Delete rows,Create indexes,A,Easy,SQL
198,UPDATE ... SET ... WHERE ... does:,Modify existing rows,Create new table,Drop database,Create view,A,Easy,SQL
199,DELETE FROM ... WHERE ... does:,Remove rows,Add rows,Update rows,Create table,A,Easy,SQL
200,DROP TABLE does:,Deletes rows only,Removes table definition and data,Creates table,Renames table,B,Easy,SQL
201,VARCHAR is:,Fixed-length string,Variable-length string,Integer type,Date type,B,Easy,SQL
202,Rename a column (PostgreSQL):,RENAME COLUMN old TO new,ALTER RENAME TO,CHANGE COLUMN,MODIFY COLUMN,A,Easy,SQL
203,MAX(col) returns:,Minimum,Maximum,Average,Sum,B,Easy,SQL
204,HAVING filters:,Before grouping,After aggregation of groups,Columns only,Rows only,B,Easy,SQL
205,RIGHT JOIN returns:,All left rows,All right rows and matching left,Only matches,None,B,Easy,SQL
206,UNION vs UNION ALL:,UNION removes duplicates; UNION ALL keeps them,Both remove duplicates,Both keep duplicates,UNION ALL removes duplicates,A,Easy,SQL
207,Index helps:,Improve read/query performance,Only writes,Only deletes,Only views,A,Easy,SQL
208,A VIEW stores:,A copy of data,A saved query definition,Indexes,Procedures,B,Easy,SQL
209,BEGIN/START TRANSACTION starts:,A query,A transaction,A backup,A trigger,B,Easy,SQL
210,ACID stands for:,"Atomicity, Consistency, Isolation, Durability","Accuracy, Completeness, Integrity, Durability","Arrays, Cursors, Indexes, Data","Async, Cache, I/O, Disk",A,Easy,SQL
211,LEFT JOIN returns:,All left rows and matching right rows,Only matching rows,All right rows,Cartesian product,A,Medium,SQL
212,FULL OUTER JOIN returns:,Only matching rows,All rows from both tables with matches where available,Only left rows,Only right rows,B,Medium,SQL
213,A scalar subquery returns:,Multiple columns,Multiple rows,Exactly one value,A table,C,Medium,SQL
214,EXISTS is used to:,Test existence of rows in a subquery,Compute averages,Create tables,Drop views,A,Medium,SQL
215,ANY vs ALL:,ANY is true if any comparison is true; ALL requires all comparisons to be true,Both require all,Both require any,Neither exists,A,Medium,SQL
216,Window function PARTITION BY does:,Joins tables,Divides result set into groups for window functions,Filters groups,Sorts groups,B,Medium,SQL
217,RANK vs DENSE_RANK:,Both identical,RANK has gaps; DENSE_RANK has no gaps,DENSE_RANK has gaps; RANK no gaps,Neither exists,B,Medium,SQL
218,ROW_NUMBER() assigns:,Aggregate,Group id,Unique sequential number per row within partition,Random id,C,Medium,SQL
219,A CTE starts with:,WITH,CTE,BEGIN,AS,A,Medium,SQL
220,Recursive CTE requires:,UNION DISTINCT,UNION ALL and self-reference,JOIN only,HAVING,B,Medium,SQL
221,"COALESCE(a,b) returns:",Always a,First non-NULL among arguments,Sum,Average,B,Medium,SQL
222,"NULLIF(a,b) returns:",a if equal,NULL if a=b else a,b only,0,B,Medium,SQL
223,CAST(x AS TYPE) does:,Convert x to given type,Create index,Drop table,Add constraint,A,Medium,SQL
224,EXTRACT(MONTH FROM date) returns:,Year,Month number,Day,Week,B,Medium,SQL
225,ON DELETE CASCADE ensures:,No deletes,Child rows auto-deleted when parent deleted,Indexes removed,Views dropped,B,Medium,SQL
226,Common index type is:,Hash only,B-tree,Bitmap only,Heap,B,Medium,SQL
227,UNIQUE constraint ensures:,Duplicates allowed,All values distinct,Nulls disallowed,Only one row,B,Medium,SQL
228,SAVEPOINT allows:,Partial rollback to a named point,Commit only,Create table,Drop index,A,Medium,SQL
229,Isolation level READ COMMITTED:,Allows dirty reads,Prevents dirty reads; may allow non-repeatable reads,Prevents all anomalies,Same as SERIALIZABLE,B,Medium,SQL
230,Deadlock is:,Slow query,Mutual waiting on locks,Syntax error,Constraint violation,B,Medium,SQL
231,EXPLAIN shows:,Actual runtime always,Query execution plan,Only errors,Only schema,B,Medium,SQL
232,Materialized view stores:,Only definition,Computed result physically,Indexes only,Procedures,B,Medium,SQL
233,CASE WHEN ... THEN ... ELSE ... END is:,A control-of-flow construct,An aggregate,A window function,A join,A,Medium,SQL
234,Standard function similar to Oracle NVL is:,NULLIF,COALESCE,ISNULL only,LENGTH,B,Medium,SQL
235,NATURAL JOIN:,Joins on all columns,Joins on columns with the same names,No join condition,Cross join,B,Medium,SQL
236,LATERAL allows:,"Subqueries to reference previous FROM items (e.g., Postgres)",Only cross joins,Only views,Only functions,A,Medium,SQL
237,Pivoting rows to columns can be done via:,GROUP BY only,CASE expressions / vendor-specific PIVOT,ORDER BY,UNION,B,Medium,SQL
238,Third normal form (3NF) removes:,All redundancy,Transitive dependencies,All joins,Indexes,B,Medium,SQL
239,A covering index:,Contains all columns needed by a query,Covers only PK,Is same as clustered index,Is a view,A,Medium,SQL
240,COUNT(DISTINCT col) returns:,Total rows,Number of distinct non-NULL values in col,Maximum value,Average value,B,Medium,SQL
241,Window frame 'ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW' means:,Whole partition,From first row to current row,Only current row,Last 10 rows,B,Hard,SQL
242,PARTITION BY with ORDER BY in window functions defines:,Join keys,Grouping and ordering per partition,CTE name,Aggregate column,B,Hard,SQL
243,"To pick top-1 per group, best approach:",MAX only,ORDER BY with LIMIT per group,ROW_NUMBER() OVER(PARTITION BY ... ORDER BY ...) and filter row_number=1,DISTINCT,C,Hard,SQL
244,Find rows in A not in B efficiently:,INNER JOIN,RIGHT JOIN,FULL JOIN,LEFT JOIN ... WHERE B.id IS NULL (or NOT EXISTS),D,Hard,SQL
245,SERIALIZABLE isolation:,Allows phantom reads,Prevents phantom reads,Allows dirty reads,Same as READ COMMITTED,B,Hard,SQL
246,REPEATABLE READ:,Prevents non-repeatable reads,Allows dirty reads,Prevents all anomalies,Same as READ UNCOMMITTED,A,Hard,SQL
247,Hash join is typically preferred when:,Small sorted tables,Very large unsorted sets with equality condition,Only range conditions,Only one row,B,Hard,SQL
248,High index selectivity means:,Few distinct values,Many distinct values (filters well),No effect,Only for PK,B,Hard,SQL
249,A covering index:,Includes all columns referenced by the query,Requires a view,Is a clustered index,Includes only PK,A,Hard,SQL
250,Composite index leading column is:,Irrelevant,Critical for predicate to use the index,Only for ORDER BY,Only for GROUP BY,B,Hard,SQL
251,Write-Ahead Logging (WAL) ensures:,No logging,Durability by logging before writing pages,Faster queries always,Dropping tables,B,Hard,SQL
252,Trigger timing options include:,ONLY,BEFORE/AFTER,WHILE,CASE,B,Hard,SQL
253,Stored function vs procedure:,Functions return values and can be used in expressions; procedures may not,Both identical,Procedures return values only,Functions cannot be called,A,Hard,SQL
254,"Deferrable foreign keys (e.g., Postgres):",Checked immediately only,Can be deferred until COMMIT,Never checked,Only for PK,B,Hard,SQL
255,Partitioned tables can improve:,Security only,Query performance via partition pruning on large tables,Always writes,Views,B,Hard,SQL
256,EXPLAIN ANALYZE shows:,Only plan,Actual execution stats and timings,Only errors,Schema,B,Hard,SQL
257,Bitmap indexes are effective for:,High-cardinality columns,Low-cardinality columns,Only text,Only numbers,B,Hard,SQL
258,Normalization vs denormalization trade-off:,No trade-off,Normalization reduces redundancy; denormalization can improve read performance,Opposite,Only affects writes,B,Hard,SQL
259,1:N cardinality means:,Many-to-many,One-to-many,One-to-one,Many-to-one,B,Hard,SQL
260,A sargable predicate:,Prevents index usage,Allows index usage (search ARGument able),Is a view,Is a trigger,B,Hard,SQL
261,READ UNCOMMITTED allows:,Dirty reads,No reads,All anomalies prevented,Same as SERIALIZABLE,A,Hard,SQL
262,MVCC allows:,Readers to block writers,Concurrent transactions without readers blocking writers,No concurrency,Only one writer,B,Hard,SQL
263,Temporary tables typically live:,Forever,For the session/transaction scope,Across databases,As views,B,Hard,SQL
264,UPSERT can be implemented via:,DELETE,MERGE or INSERT ... ON CONFLICT (vendor-specific),TRIGGER only,VIEW,B,Hard,SQL
265,Recursive CTE components:,Only base query,Base and recursive member joined with UNION ALL,Only recursive member,Only join,B,Hard,SQL
266,"NTH_VALUE(x, n) in window functions returns:",Nth row overall,The nth value within the window frame,Average,Sum,B,Hard,SQL
267,LEAD/LAG functions:,Sort data,Access following/previous row's values,Aggregate data,Join tables,B,Hard,SQL
268,GROUPING SETS allow:,Only one grouping,Multiple groupings in one query,No grouping,Only window functions,B,Hard,SQL
269,CROSS JOIN returns:,Only matches,Cartesian product of rows,Only left rows,Only right rows,B,Hard,SQL
270,"To prevent SQL injection, primarily use:",String concatenation,Parameterized queries (prepared statements),Dynamic SQL only,Triggers,B,Hard,SQL